Year,Month,From_City,Total_Count,Stay_Prob,Outflow_Count,To_Top1,To_Top1_Count,To_Top2,To_Top2_Count,To_Top3,To_Top3_Count,To_Top4,To_Top4_Count,To_Top5,To_Top5_Count,To_Top6,To_Top6_Count,To_Top7,To_Top7_Count,To_Top8,To_Top8_Count,To_Top9,To_Top9_Count,To_Top10,To_Top10_Count,To_Top11,To_Top11_Count,To_Top12,To_Top12_Count,To_Top13,To_Top13_Count,To_Top14,To_Top14_Count,To_Top15,To_Top15_Count,To_Top16,To_Top16_Count,To_Top17,To_Top17_Count,To_Top18,To_Top18_Count,To_Top19,To_Top19_Count,To_Top20,To_Top20_Count
2000,12,重庆市(5001),28488200,0.7445,7278735,成都市(5101),750372,泉州市(3505),620662,广州市(4401),367104,东莞市(4419),361814,达州市(5117),321830,广安市(5116),306355,北京市(1101),303760,温州市(3303),291009,昆明市(5301),284507,海东市(6302),280258,深圳市(4403),268153,绍兴市(3306),267556,惠州市(4413),244232,遵义市(5203),222068,佛山市(4406),204027,福州市(3501),199439,宜昌市(4205),192785,曲靖市(5303),191937,毕节市(5205),191095,金华市(3307),186829
2001,12,重庆市(5001),27901236,0.82178716,4972359,泉州市(3505),401350,成都市(5101),366090,东莞市(4419),350564,深圳市(4403),342736,温州市(3303),249749,广州市(4401),230378,达州市(5117),198262,广安市(5116),188729,北京市(1101),182760,惠州市(4413),178076,海东市(6302),172652,绍兴市(3306),164827,昆明市(5301),162249,佛山市(4406),156275,上海市(3101),147584,遵义市(5203),136804,福州市(3501),120814,曲靖市(5303),118242,毕节市(5205),117723,金华市(3307),115095
2002,12,重庆市(5001),27922407,0.85,4188361,深圳市(4403),381681,东莞市(4419),367087,泉州市(3505),323470,温州市(3303),243010,成都市(5101),223737,上海市(3101),188821,广州市(4401),180304,惠州市(4413),154494,达州市(5117),153461,广安市(5116),146082,佛山市(4406),142629,北京市(1101),138095,海东市(6302),133638,绍兴市(3306),127581,昆明市(5301),116334,遵义市(5203),105891,福州市(3501),92551,曲靖市(5303),91523,毕节市(5205),91122,金华市(3307),89087
2003,12,重庆市(5001),27941129,0.85,4191169,深圳市(4403),441349,东莞市(4419),420122,泉州市(3505),312216,温州市(3303),265491,上海市(3101),232942,广州市(4401),169698,成都市(5101),168381,惠州市(4413),155746,佛山市(4406),150424,达州市(5117),143623,广安市(5116),136718,北京市(1101),126138,海东市(6302),125071,绍兴市(3306),119403,昆明市(5301),101275,遵义市(5203),99103,福州市(3501),86155,曲靖市(5303),85656,嘉兴市(3304),85555,毕节市(5205),85280
2004,12,重庆市(5001),27967505,0.85,4195126,深圳市(4403),472158,东莞市(4419),451128,泉州市(3505),303398,温州市(3303),277431,上海市(3101),263929,广州市(4401),162013,佛山市(4406),154879,惠州市(4413),154774,达州市(5117),136836,成都市(5101),136329,广安市(5116),130256,海东市(6302),119160,北京市(1101),117295,绍兴市(3306),113760,遵义市(5203),94419,嘉兴市(3304),91990,昆明市(5301),90524,台州市(3310),84592,苏州市(3205),82197,福州市(3501),81921
2005,12,重庆市(5001),27980000,0.85,4197000,深圳市(4403),468844,东莞市(4419),449504,泉州市(3505),292068,上海市(3101),282683,温州市(3303),273797,广州市(4401),154918,佛山市(4406),153403,惠州市(4413),149991,达州市(5117),130804,广安市(5116),124515,成都市(5101),122454,海东市(6302),113908,北京市(1101),109474,绍兴市(3306),108746,宁波市(3302),100207,嘉兴市(3304),95427,遵义市(5203),90257,台州市(3310),88588,苏州市(3205),83054,昆明市(5301),82309
2006,12,重庆市(5001),28028802,0.85,4204320,深圳市(4403),440334,东莞市(4419),438245,上海市(3101),297024,泉州市(3505),283953,温州市(3303),266650,宁波市(3302),166800,佛山市(4406),151423,广州市(4401),148798,惠州市(4413),141763,成都市(5101),134331,达州市(5117),127543,广安市(5116),121411,海东市(6302),111068,绍兴市(3306),106034,北京市(1101),104290,嘉兴市(3304),98241,台州市(3310),93911,遵义市(5203),88007,苏州市(3205),84069,福州市(3501),80698
2007,12,重庆市(5001),28042496,0.85,4206374,东莞市(4419),429528,深圳市(4403),392592,上海市(3101),305508,泉州市(3505),276458,温州市(3303),260663,宁波市(3302),215240,成都市(5101),166696,佛山市(4406),150008,广州市(4401),140682,惠州市(4413),128339,达州市(5117),125112,广安市(5116),119096,海东市(6302),108951,绍兴市(3306),104013,北京市(1101),100049,嘉兴市(3304),99732,台州市(3310),99509,福州市(3501),89362,遵义市(5203),86330,苏州市(3205),84448
2008,12,重庆市(5001),28067362,0.85,4210104,东莞市(4419),422979,深圳市(4403),341141,上海市(3101),309990,泉州市(3505),270114,温州市(3303),255860,宁波市(3302),248072,成都市(5101),205676,佛山市(4406),149143,广州市(4401),132636,达州市(5117),123488,广安市(5116),117551,惠州市(4413),113534,海东市(6302),107537,台州市(3310),105510,绍兴市(3306),102663,嘉兴市(3304),100390,福州市(3501),100220,北京市(1101),96709,遵义市(5203),85209,苏州市(3205),84487
2009,12,重庆市(5001),28093131,0.85,4213970,东莞市(4419),417502,上海市(3101),311483,深圳市(4403),299732,宁波市(3302),266706,泉州市(3505),264933,温州市(3303),251811,成都市(5101),238105,佛山市(4406),148546,广州市(4401),126341,达州市(5117),122438,广安市(5116),116551,台州市(3310),111843,福州市(3501),109352,海东市(6302),106623,绍兴市(3306),101790,惠州市(4413),100653,嘉兴市(3304),100451,北京市(1101),94072,杭州市(3301),84761,遵义市(5203),84485
