year,city,total_population,migration_population,ratio
2000,七台河(2309),234496,32244,13.75
2001,七台河(2309),221587,31353,14.15
2002,七台河(2309),211901,30786,14.53
2003,七台河(2309),204427,30495,14.92
2004,七台河(2309),198267,30335,15.3
2005,七台河(2309),197399,31016,15.71
2006,七台河(2309),207665,33414,16.09
2007,七台河(2309),217876,36034,16.54
2008,七台河(2309),227791,38585,16.94
2009,七台河(2309),236887,41187,17.39
2010,七台河(2309),239934,42785,17.83
2011,七台河(2309),250339,45017,17.98
2012,七台河(2309),257345,46634,18.12
2013,七台河(2309),267701,49058,18.33
2014,七台河(2309),276762,51041,18.44
2015,七台河(2309),270919,50491,18.64
2016,七台河(2309),269531,50833,18.86
2017,七台河(2309),269023,51202,19.03
2018,七台河(2309),266725,51504,19.31
2019,七台河(2309),261736,51128,19.53
2020,七台河(2309),418393,82950,19.83
2000,三亚(4602),0,0,nan
2001,三亚(4602),0,0,nan
2002,三亚(4602),0,0,nan
2003,三亚(4602),0,0,nan
2004,三亚(4602),0,0,nan
2005,三亚(4602),0,0,nan
2006,三亚(4602),0,0,nan
2007,三亚(4602),0,0,nan
2008,三亚(4602),0,0,nan
2009,三亚(4602),0,0,nan
2010,三亚(4602),0,0,nan
2011,三亚(4602),0,0,nan
2012,三亚(4602),0,0,nan
2013,三亚(4602),0,0,nan
2014,三亚(4602),0,0,nan
2015,三亚(4602),0,0,nan
2016,三亚(4602),0,0,nan
2017,三亚(4602),0,0,nan
2018,三亚(4602),0,0,nan
2019,三亚(4602),0,0,nan
2020,三亚(4602),0,0,nan
2000,三明(3504),373513,27523,7.37
2001,三明(3504),364724,28456,7.8
2002,三明(3504),358712,29377,8.19
2003,三明(3504),355369,30804,8.67
2004,三明(3504),354349,32228,9.09
2005,三明(3504),361151,34436,9.54
2006,三明(3504),389109,38827,9.98
2007,三明(3504),416791,43556,10.45
2008,三明(3504),444633,48545,10.92
2009,三明(3504),471714,53481,11.34
2010,三明(3504),486263,57629,11.85
2011,三明(3504),505846,59751,11.81
2012,三明(3504),519450,61576,11.85
2013,三明(3504),539182,63944,11.86
2014,三明(3504),556767,66009,11.86
2015,三明(3504),543261,64148,11.81
2016,三明(3504),538908,63692,11.82
2017,三明(3504),536672,63396,11.81
2018,三明(3504),530126,62687,11.82
2019,三明(3504),519450,61576,11.85
2020,三明(3504),828047,98687,11.92
2009,三沙(4603),0,0,nan
2010,三沙(4603),0,0,nan
2011,三沙(4603),0,0,nan
2012,三沙(4603),0,0,nan
2013,三沙(4603),0,0,nan
2014,三沙(4603),0,0,nan
2015,三沙(4603),0,0,nan
2016,三沙(4603),0,0,nan
2017,三沙(4603),0,0,nan
2018,三沙(4603),0,0,nan
2019,三沙(4603),0,0,nan
2020,三沙(4603),0,0,nan
2000,三门峡(4112),194098,9042,4.66
2001,三门峡(4112),174245,7914,4.54
2002,三门峡(4112),157749,7062,4.48
2003,三门峡(4112),144145,6099,4.23
2004,三门峡(4112),132901,5525,4.16
2005,三门峡(4112),125173,4897,3.91
2006,三门峡(4112),124985,4757,3.81
